date,board,type,name,status
2012-04-26 19:00:00,Board of Aldermen,Regular Meeting,John M Connolly,Present
2012-04-26 19:00:00,Board of Aldermen,Regular Meeting,Bruce M. Desmond,Present
2012-04-26 19:00:00,Board of Aldermen,Regular Meeting,Dennis M. Sullivan,Present
2012-04-26 19:00:00,Board of Aldermen,Regular Meeting,William A. White Jr.,Present
2012-04-26 19:00:00,Board of Aldermen,Regular Meeting,William M. Roche,Present
2012-04-26 19:00:00,Board of Aldermen,Regular Meeting,Maryann M. Heuston,Present
2012-04-26 19:00:00,Board of Aldermen,Regular Meeting,Thomas F. Taylor,Present
2012-04-26 19:00:00,Board of Aldermen,Regular Meeting,Sean T. O'Donovan,Absent
2012-04-26 19:00:00,Board of Aldermen,Regular Meeting,Rebekah Gewirtz,Present
2012-04-26 19:00:00,Board of Aldermen,Regular Meeting,Robert C. Trane,Present
2012-04-26 19:00:00,Board of Aldermen,Regular Meeting,Tony Lafuente,Present
2012-04-26 18:30:00,Confirmation of Appointments Committee,Committee Meeting,Bruce M. Desmond,Present
2012-04-26 18:30:00,Confirmation of Appointments Committee,Committee Meeting,William M. Roche,Present
2012-04-26 18:30:00,Confirmation of Appointments Committee,Committee Meeting,Robert C. Trane,Present
2012-04-26 18:30:00,Confirmation of Appointments Committee,Committee Meeting,Sean T. O'Donovan,Absent
2012-04-26 18:30:00,Confirmation of Appointments Committee,Committee Meeting,Tony Lafuente,Present
2012-04-24 18:00:00,Legislative Matters Committee,Committee Meeting,Rebekah Gewirtz,Remote
2012-04-24 18:00:00,Legislative Matters Committee,Committee Meeting,John M Connolly,Present
2012-04-24 18:00:00,Legislative Matters Committee,Committee Meeting,Bruce M. Desmond,Present
2012-04-24 18:00:00,Legislative Matters Committee,Committee Meeting,William A. White Jr.,Present
2012-04-24 18:00:00,Legislative Matters Committee,Committee Meeting,Thomas F. Taylor,Present
2012-04-24 18:00:00,Legislative Matters Committee,Committee Meeting,Dennis M. Sullivan,Present
2012-04-24 18:00:00,Legislative Matters Committee,Committee Meeting,Frank Wright,Present
2012-04-24 18:00:00,Legislative Matters Committee,Committee Meeting,Dave Shapiro,Present
2012-04-24 18:00:00,Legislative Matters Committee,Committee Meeting,David Lutes,Present
2012-04-24 18:00:00,Legislative Matters Committee,Committee Meeting,Sarah Kloos,Present
2012-04-24 18:00:00,Legislative Matters Committee,Committee Meeting,Omar Boukili,Present
2012-04-24 17:30:00,Housing and Community Development Committee,Committee Meeting,Tony Lafuente,Present
2012-04-24 17:30:00,Housing and Community Development Committee,Committee Meeting,Rebekah Gewirtz,Present
2012-04-24 17:30:00,Housing and Community Development Committee,Committee Meeting,Dennis M. Sullivan,Present
2012-04-24 17:30:00,Housing and Community Development Committee,Committee Meeting,John M Connolly,Present
2012-04-24 17:30:00,Housing and Community Development Committee,Committee Meeting,Bruce M. Desmond,Present
2012-04-24 17:30:00,Housing and Community Development Committee,Committee Meeting,Sean T. O'Donovan,Present
2012-04-24 17:30:00,Housing and Community Development Committee,Committee Meeting,Thomas F. Taylor,Present
2012-04-24 17:30:00,Housing and Community Development Committee,Committee Meeting,Omar Boukili,Present
2012-04-24 17:30:00,Housing and Community Development Committee,Committee Meeting,Michael Glavin,Present
2012-04-24 17:30:00,Housing and Community Development Committee,Committee Meeting,George Proakis,Present
2012-04-24 17:30:00,Housing and Community Development Committee,Committee Meeting,Dana LeWinter,Present
2012-04-24 17:30:00,Housing and Community Development Committee,Committee Meeting,Stan Koty,Present
